framework,mode,test,target_rps,actual_rps,avg_ms,med_ms,p95_ms,failed_rate,avg_rss_mb,max_rss_mb
fastify,cluster,concurrency,300,21503.22,11.8522,11.2340,23.3735,0.0000,0.00,0.00
fastify,single,concurrency,300,14433.05,18.1110,23.5598,28.9700,0.0000,0.00,0.00
express,single,concurrency,300,10586.52,22.9829,28.0445,44.8444,0.2175,0.00,0.00
express,cluster,concurrency,300,10517.98,22.7026,25.5664,39.1943,0.1375,0.00,0.00
nestjs,cluster,concurrency,300,9396.54,27.8128,23.8847,46.6811,0.0000,0.00,0.00
nestjs,single,concurrency,300,3903.81,67.0194,80.4540,91.7171,0.0000,0.00,0.00
nestjs,cluster,static,100,100.06,0.6447,0.5425,1.6371,0.0000,0.00,0.00
nestjs,single,static,100,100.05,0.6749,0.6472,1.3061,0.0000,0.00,0.00
fastify,single,static,100,100.00,0.1445,0.0000,0.7137,0.0000,0.00,0.00
express,single,static,100,100.00,1.3112,0.5052,7.4201,0.0793,0.00,0.00
fastify,cluster,static,100,100.00,0.2476,0.0000,0.8571,0.0000,0.00,0.00
express,cluster,static,100,100.00,0.2200,0.0000,0.7744,0.0793,0.00,0.00
express,single,io-simulate,100,98.02,300.6516,300.4882,302.2839,0.0000,0.00,0.00
nestjs,single,io-simulate,100,98.02,302.8006,301.2550,310.4311,0.0000,0.00,0.00
fastify,cluster,io-simulate,100,98.01,302.1414,300.7221,309.8996,0.0000,0.00,0.00
nestjs,cluster,io-simulate,100,97.98,302.3185,300.9087,310.3888,0.0000,0.00,0.00
express,cluster,io-simulate,100,97.97,299.2239,301.3240,310.6952,0.0233,0.00,0.00
fastify,single,io-simulate,100,97.95,301.0097,300.4161,307.5216,0.0000,0.00,0.00
express,workers,hash,20,20.07,0.4844,0.5142,0.6898,0.0000,0.00,0.00
express,single,hash,20,20.07,0.5073,0.5074,1.1133,0.0764,0.00,0.00
nestjs,single,hash,20,20.07,1.1648,1.0805,2.2412,0.0000,0.00,0.00
nestjs,cluster,hash,20,20.06,1.9179,1.4581,4.8576,0.0000,0.00,0.00
nestjs,workers,hash,20,20.01,37.0154,40.0954,47.6345,0.0000,0.00,0.00
fastify,workers,hash,20,20.01,41.1577,43.4754,46.8198,0.0000,0.00,0.00
express,cluster,hash,20,20.00,19.7462,17.6850,48.1628,0.0000,0.00,0.00
fastify,single,hash,20,20.00,0.7547,0.5139,1.6249,0.0000,0.00,0.00
fastify,cluster,hash,20,20.00,1.0880,0.9179,2.6729,0.0000,0.00,0.00
fastify,cluster,compute,10,10.07,1.8410,1.6969,2.8772,0.0000,0.00,0.00
express,single,compute,10,10.07,1.7665,1.5517,3.4340,0.0795,0.00,0.00
express,workers,compute,10,10.07,2.0695,1.6984,3.8559,0.0861,0.00,0.00
nestjs,cluster,compute,10,10.06,2.7734,2.5673,6.4799,0.0000,0.00,0.00
express,cluster,compute,10,10.06,30.8869,35.5939,48.7881,0.0000,0.00,0.00
fastify,single,compute,10,10.06,2.8502,2.3367,6.7470,0.0000,0.00,0.00
nestjs,single,compute,10,10.06,3.4023,2.4500,7.8486,0.0000,0.00,0.00
fastify,single,transform,10,10.06,7.8165,6.6672,16.2403,0.0000,0.00,0.00
express,single,transform,10,10.06,6.7425,6.2987,9.9258,0.0795,0.00,0.00
nestjs,single,transform,10,10.06,11.9238,10.2516,25.2157,0.0000,0.00,0.00
nestjs,cluster,transform,10,10.06,11.2151,10.1860,20.8113,0.0000,0.00,0.00
fastify,cluster,transform,10,10.05,14.0575,11.3524,33.3924,0.0000,0.00,0.00
nestjs,workers,compute,10,10.04,47.8999,48.7800,58.2535,0.0000,0.00,0.00
express,cluster,transform,10,10.00,9.5602,9.3314,16.2266,0.0000,0.00,0.00
fastify,workers,compute,10,10.00,41.2272,45.3122,48.0015,0.0000,0.00,0.00
